dt	dhsl	Mode	pCa
0.0002	0	-2	6.71245
0.0002	0	-2	6.6967
0.0002	0	-2	6.68165
0.0002	0	-2	6.66724
0.0002	0	-2	6.65343
0.0002	0	-2	6.64017
0.0002	0	-2	6.62742
0.0002	0	-2	6.61515
0.0002	0	-2	6.60334
0.0002	0	-2	6.59195
0.0002	0	-2	6.58095
0.0002	0	-2	6.57033
0.0002	0	-2	6.56007
0.0002	0	-2	6.55013
0.0002	0	-2	6.54052
0.0002	0	-2	6.5312
0.0002	0	-2	6.52217
0.0002	0	-2	6.51341
0.0002	0	-2	6.50491
0.0002	0	-2	6.49666
0.0002	0	-2	6.48863
0.0002	0	-2	6.48084
0.0002	0	-2	6.47325
0.0002	0	-2	6.46587
0.0002	0	-2	6.45869
0.0002	0	-2	6.45169
0.0002	0	-2	6.44487
0.0002	0	-2	6.43823
0.0002	0	-2	6.43176
0.0002	0	-2	6.42544
0.0002	0	-2	6.41928
0.0002	0	-2	6.41326
0.0002	0	-2	6.40739
0.0002	0	-2	6.40166
0.0002	0	-2	6.39606
0.0002	0	-2	6.39059
0.0002	0	-2	6.38524
0.0002	0	-2	6.38002
0.0002	0	-2	6.37491
0.0002	0	-2	6.36991
0.0002	0	-2	6.36502
0.0002	0	-2	6.36024
0.0002	0	-2	6.35556
0.0002	0	-2	6.35098
0.0002	0	-2	6.34649
0.0002	0	-2	6.3421
0.0002	0	-2	6.3378
0.0002	0	-2	6.33358
0.0002	0	-2	6.32946
0.0002	0	-2	6.32541
0.0002	0	-2	6.32145
0.0002	0	-2	6.31757
0.0002	0	-2	6.31376
0.0002	0	-2	6.31003
0.0002	0	-2	6.30637
0.0002	0	-2	6.30278
0.0002	0	-2	6.29926
0.0002	0	-2	6.29581
0.0002	0	-2	6.29242
0.0002	0	-2	6.2891
0.0002	0	-2	6.28584
0.0002	0	-2	6.28264
0.0002	0	-2	6.2795
0.0002	0	-2	6.27642
0.0002	0	-2	6.2734
0.0002	0	-2	6.27043
0.0002	0	-2	6.26751
0.0002	0	-2	6.26465
0.0002	0	-2	6.26184
0.0002	0	-2	6.25909
0.0002	0	-2	6.25638
0.0002	0	-2	6.25372
0.0002	0	-2	6.25111
0.0002	0	-2	6.24854
0.0002	0	-2	6.24602
0.0002	0	-2	6.24355
0.0002	0	-2	6.24112
0.0002	0	-2	6.23873
0.0002	0	-2	6.23639
0.0002	0	-2	6.23408
0.0002	0	-2	6.23182
0.0002	0	-2	6.22959
0.0002	0	-2	6.22741
0.0002	0	-2	6.22526
0.0002	0	-2	6.22315
0.0002	0	-2	6.22108
0.0002	0	-2	6.21904
0.0002	0	-2	6.21704
0.0002	0	-2	6.21508
0.0002	0	-2	6.21315
0.0002	0	-2	6.21125
0.0002	0	-2	6.20938
0.0002	0	-2	6.20755
0.0002	0	-2	6.20575
0.0002	0	-2	6.20398
0.0002	0	-2	6.20224
0.0002	0	-2	6.20053
0.0002	0	-2	6.19885
0.0002	0	-2	6.1972
0.0002	0	-2	6.19558
0.0002	0	-2	6.19398
0.0002	0	-2	6.19242
0.0002	0	-2	6.19088
0.0002	0	-2	6.18937
